variable,Cash grant,Control,In-kind grant,Loan
age,28.588628762541806,28.87250554323725,28.59278350515464,28.67515923566879
female,0.615257048092869,0.603671706263499,0.5875420875420876,0.5819327731092437
educ_college,0.07296849087893864,0.0939524838012959,0.11616161616161616,0.09978991596638656
prior_work,0.27860696517412936,0.30669546436285094,0.32323232323232326,0.29411764705882354
has_business,0.1111111111111111,0.11339092872570194,0.1026936026936027,0.11449579831932773
low_income,0.27591973244147155,0.30965593784683687,0.29037800687285226,0.29936305732484075
prior_borrowing,0.10281923714759536,0.11123110151187905,0.11447811447811448,0.0934873949579832
family_pressure_index,0.08730983029701493,0.0029720504365010826,0.08549315606548823,0.035057112142962185
